category,closed_or_api,open_weight,open_closed_best_gap,open_closed_gap_pct_of_closed,comparison_note,analysis_captured_at
text_to_image,1574.2435525676242,1212.6857458083412,361.56,0.2297,Comparable open-weight and closed/API rows observed in selected snapshot.,2026-05-16T17:13:09+00:00
image_edit,1513.0111081104385,1272.2820948867309,240.73,0.1591,Comparable open-weight and closed/API rows observed in selected snapshot.,2026-05-16T17:13:09+00:00
vision,1451.6865163930936,1341.839120952578,109.85,0.0757,Comparable open-weight and closed/API rows observed in selected snapshot.,2026-05-16T17:13:09+00:00
webdev,1586.928798035784,1491.3053126020395,95.62,0.0603,Comparable open-weight and closed/API rows observed in selected snapshot.,2026-05-16T17:13:09+00:00
document,1527.827468863649,1433.687985154499,94.14,0.0616,Comparable open-weight and closed/API rows observed in selected snapshot.,2026-05-16T17:13:09+00:00
text,1619.7821471012762,1549.227871094854,70.55,0.0436,Comparable open-weight and closed/API rows observed in selected snapshot.,2026-05-16T17:13:09+00:00
search,1255.8640018663891,,,0.0,No comparable open-weight or closed/API row in selected snapshot.,2026-05-16T17:13:09+00:00
