table,rows,path,analysis_captured_at
analysis_manifest,22,data/analysis/analysis_manifest.csv,2026-05-16T11:27:28+00:00
capability_forecasts,54,data/analysis/capability_forecasts.csv,2026-05-16T11:27:28+00:00
capability_frontier_history,17,data/analysis/capability_frontier_history.csv,2026-05-16T11:27:28+00:00
company_frontier_scores,12,data/analysis/company_frontier_scores.csv,2026-05-16T11:27:28+00:00
company_next_frontier_probabilities,108,data/analysis/company_next_frontier_probabilities.csv,2026-05-16T11:27:28+00:00
company_score_components,12,data/analysis/company_score_components.csv,2026-05-16T11:27:28+00:00
company_score_methodology,6,data/analysis/company_score_methodology.csv,2026-05-16T11:27:28+00:00
company_score_sensitivity,48,data/analysis/company_score_sensitivity.csv,2026-05-16T11:27:28+00:00
counterintuitive_findings,5,data/analysis/counterintuitive_findings.csv,2026-05-16T11:27:28+00:00
deep_analysis_source_registry,4,data/analysis/deep_analysis_source_registry.csv,2026-05-16T11:27:28+00:00
forecast_claims,4,data/analysis/forecast_claims.csv,2026-05-16T11:27:28+00:00
forecast_input_diagnostics,3,data/analysis/forecast_input_diagnostics.csv,2026-05-16T11:27:28+00:00
historical_analogy_index,8,data/analysis/historical_analogy_index.csv,2026-05-16T11:27:28+00:00
job_exposure_scores,756,data/analysis/job_exposure_scores.csv,2026-05-16T11:27:28+00:00
job_replacement_feasibility,756,data/analysis/job_replacement_feasibility.csv,2026-05-16T11:27:28+00:00
labor_cluster_profiles,7,data/analysis/labor_cluster_profiles.csv,2026-05-16T11:27:28+00:00
labor_market_exposure_summary,30,data/analysis/labor_market_exposure_summary.csv,2026-05-16T11:27:28+00:00
leadership_model_audit,8,data/analysis/leadership_model_audit.csv,2026-05-16T11:27:28+00:00
lmarena_category_leaders,56,data/analysis/lmarena_category_leaders.csv,2026-05-16T11:27:28+00:00
open_closed_gap_by_category,7,data/analysis/open_closed_gap_by_category.csv,2026-05-16T11:27:28+00:00
price_performance_frontier,356,data/analysis/price_performance_frontier.csv,2026-05-16T11:27:28+00:00
task_domain_exposure_heatmap,22,data/analysis/task_domain_exposure_heatmap.csv,2026-05-16T11:27:28+00:00
